0.0,0.0.1,0.0.2,1.0
-0.4443106742886969,0.2883611261112333,-0.5955691774814856,1.0
-0.4151636204566671,0.2681937565366764,-0.5951846027906061,1.0
-0.3133667881309598,0.1984832330964195,-0.5944251899282491,1.0
-0.1691994017766148,0.1003621733778581,-0.5937582733114577,1.0
0.0274512252558909,-0.0330463707453871,-0.5930830590606829,1.0
0.2310981668806744,-0.1708522647250648,-0.5925242404952078,1.0
0.5059456801362229,-0.3564230274011056,-0.5920734248899668,1.0
0.7837711696551249,-0.5436320395761239,-0.5918824532104915,1.0
1.1073539180059515,-0.7614752120557432,-0.5917253309329316,1.0
1.384401619640894,-0.9459815685939728,-0.572116373672915,1.0
1.6165906521282425,-1.0966496268857229,-0.571066683683327,1.0
1.8950064406732383,-1.2760561722676718,-0.5707346572454934,1.0
2.17325170141747,-1.454981512484009,-0.570567080240186,1.0
2.4506096350769364,-1.6332838258769795,-0.5704153901617852,1.0
2.7276803490287045,-1.811292922728652,-0.5702752862092028,1.0
3.003847361298116,-1.9887111899666936,-0.5701281058894779,1.0
3.2810253861817,-2.166688738329825,-0.5699584586644296,1.0
3.587649639778645,-2.363701533232253,-0.5694567583854113,1.0
3.939848390704351,-2.589754250528315,-0.5688901348471491,1.0
4.302904031562356,-2.822313516539549,-0.568631306145052,1.0
4.665530519367259,-3.0543195448565696,-0.5684719326010056,1.0
5.027052620008917,-3.285563909792251,-0.5683186834377897,1.0
5.388080267012219,-3.516367507453783,-0.568175905350496,1.0
5.747995590004936,-3.746431686768921,-0.5680256096062952,1.0
6.04752791298357,-3.937818509872132,-0.5678988242748335,1.0
6.465732781359507,-4.204955984838453,-0.5677332381580973,1.0
6.823558664431382,-4.433419396801484,-0.5675910822270954,1.0
7.120856278039287,-4.62319846149569,-0.5674822448294334,1.0
7.536516895159617,-4.8884543796597,-0.5672989070236061,1.0
7.891653209515239,-5.115029305561479,-0.5671488902420804,1.0
8.246309200501553,-5.341179542096352,-0.5670068515641026,1.0
8.540971302408384,-5.529036129864931,-0.5668981227426093,1.0
8.89411653442976,-5.7541351061938055,-0.5667303360841334,1.0
9.24630593342108,-5.978511401059388,-0.566606235188123,1.0
