#x_m, y_m, w_tr_right_m, w_tr_left_m 
0.0,0.0,1.8,1.8
0.0023289912814405595,0.003247330839882154,1.8,1.8
0.0023289888342729534,0.0032473309446286805,1.8,1.8
0.002328961351218283,0.0032473314163215033,1.8,1.8
0.0023289485747597046,0.003247331725260614,1.8,1.8
0.002329062236444482,0.0032473303050354297,1.8,1.8
0.0023298123522186285,0.0032473209102431588,1.8,1.8
0.0023317847092520975,0.0032472964846591962,1.8,1.8
0.0023365216835962684,0.003247238699616175,1.8,1.8
0.002343100069819246,0.0032471590023367297,1.8,1.8
0.0023529972837171243,0.003247039380417091,1.8,1.8
0.0023650753351971416,0.0032468937811449853,1.8,1.8
0.0023785205398525245,0.0032467317225080626,1.8,1.8
0.002401011616806743,0.0032464612733315297,1.8,1.8
0.026486095572516834,0.002963977997906664,1.8,1.8
0.3087109881925741,-0.00020493138889064575,1.8,1.8
0.9549496925512223,-0.007557835664548649,1.8,1.8
1.8188327160225906,-0.017426424830348647,1.8,1.8
2.9140044584110956,-0.029593417417546574,1.8,1.8
4.238028167737865,-0.04002317361999697,1.8,1.8
5.798273532746292,-0.037820837647278734,1.8,1.8
7.583609723404346,-0.022554927463983482,1.8,1.8
9.557871448301979,0.20526438472671252,1.8,1.8
11.652272921934347,0.5835759802789561,1.8,1.8
13.778030731201316,0.9847871809893561,1.8,1.8
15.868278679493606,1.6473298110552261,1.8,1.8
17.976278496484422,2.518474041065499,1.8,1.8
20.029038196929626,3.53375310545664,1.8,1.8
21.884187733863676,5.05731785419128,1.8,1.8
23.31848726964475,7.072381693303934,1.8,1.8
24.317472672680413,9.00166704893286,1.8,1.8
24.906062743329567,10.749955357823975,1.8,1.8
25.386759368785548,12.295394043674634,1.8,1.8
25.83436284665693,13.736326567879225,1.8,1.8
26.230766024582355,15.295473443749437,1.8,1.8
26.465636141747808,17.070253633046008,1.8,1.8
26.70046334946297,18.946665580532645,1.8,1.8
26.941175361060573,20.87681565505998,1.8,1.8
27.174947528227484,22.866471844089904,1.8,1.8
27.41568813441357,24.96064473123255,1.8,1.8
27.6375242220113,27.10224195041758,1.8,1.8
27.739784422213887,29.288283235758325,1.8,1.8
27.796531332965483,31.49614769239801,1.8,1.8
27.586870001678317,33.699467500929416,1.8,1.8
27.28161556131473,35.837971853390584,1.8,1.8
26.95470571962961,37.795939535378494,1.8,1.8
26.64172309664707,39.71485202734822,1.8,1.8
26.35502661918581,41.566336488122,1.8,1.8
26.06190537890191,43.253607740991924,1.8,1.8
25.661693634211417,44.74553778988605,1.8,1.8
25.288078255098664,46.037325960163116,1.8,1.8
24.956607740155047,47.16719087620744,1.8,1.8
24.639900761539415,48.21887193638065,1.8,1.8
24.218905935482894,49.26151162214785,1.8,1.8
23.606102820526196,50.35104249769479,1.8,1.8
22.92347587675867,51.46367357625484,1.8,1.8
22.000748519983116,52.54991029178826,1.8,1.8
20.622151343009516,53.54536356515012,1.8,1.8
18.853176509222745,54.32624441177453,1.8,1.8
16.854600820894415,55.012465232363226,1.8,1.8
14.787034218797517,55.13256935963527,1.8,1.8
12.202392653612357,54.83817849628032,1.8,1.8
9.573425126324958,54.54077172941297,1.8,1.8
6.928463308760325,54.229588974348076,1.8,1.8
4.170433881656055,53.89398067177844,1.8,1.8
1.2773439843711958,53.529143362288664,1.8,1.8
-1.7094063018229615,53.13320333760404,1.8,1.8
-4.729289807118319,52.69315615776858,1.8,1.8
-7.5858512543867915,52.07234550302915,1.8,1.8
-10.126571422759628,51.35527030129068,1.8,1.8
-12.387858898965527,50.67744861720706,1.8,1.8
-14.383009053273637,49.459844570422796,1.8,1.8
-16.124782232797035,47.39673414997779,1.8,1.8
-17.65402979126384,44.78623808475867,1.8,1.8
-18.132766601584247,41.48368883385191,1.8,1.8
-17.627793986668188,37.8019112075047,1.8,1.8
-17.080459907802965,34.14615825491001,1.8,1.8
-16.52988242172242,30.638571176703728,1.8,1.8
-15.968845760432885,27.342480677176226,1.8,1.8
-15.41119232911942,24.2430220814456,1.8,1.8
-14.931274790532555,21.33322970090034,1.8,1.8
-14.728967951722495,18.691085994332898,1.8,1.8
-14.561173318560856,16.37839504898668,1.8,1.8
-14.447817675148375,14.280116202201356,1.8,1.8
-14.329142109346982,12.33339348937213,1.8,1.8
-14.205817767095413,10.45212956263328,1.8,1.8
-13.99306650771263,8.34479669411155,1.8,1.8
-13.002287444071666,5.853615383881905,1.8,1.8
-10.545340190380884,3.5975983443671327,1.8,1.8
-7.332526002498751,1.7930587908371478,1.8,1.8
-3.887415979255278,0.724254586648582,1.8,1.8
-0.6020183303454752,0.36127902127275735,1.8,1.8
2.2229086421778437,0.053047836764347364,1.8,1.8
4.3841924867161275,-0.17861104079786155,1.8,1.8
5.749993544152826,-0.325322566971094,1.8,1.8
6.372279323619041,-0.3941999911102041,1.8,1.8
6.4875236621079315,-0.40919749471871325,1.8,1.8
6.471688276689756,-0.40978963201780666,1.8,1.8
6.454513093893926,-0.4095623190405947,1.8,1.8
6.436736271143387,-0.4085250882193503,1.8,1.8
6.419569058182138,-0.4069371083265154,1.8,1.8
6.398400317259765,-0.40439959206391246,1.8,1.8
6.368867914661245,-0.40010478441823033,1.8,1.8
6.335277501342201,-0.39454812672058764,1.8,1.8
