#x_m, y_m, w_tr_right_m, w_tr_left_m 
1.0830652720020681,-2.6038279205455166,1.8,1.8
2.161747531333761,-3.350002917952453,1.8,1.8
3.230975698724093,-4.111922652952985,1.8,1.8
4.314068731936174,-4.853506423350005,1.8,1.8
5.408036502840637,-5.579083821081198,1.8,1.8
6.509888883308114,-6.29298443808424,1.8,1.8
7.616635745209242,-6.999537866296814,1.8,1.8
8.72528696041465,-7.703073697656595,1.8,1.8
9.832045736295218,-8.409141476767285,1.8,1.8
10.948644859111004,-9.098206363266833,1.8,1.8
12.064441040777172,-9.788107826398342,1.8,1.8
13.185710305678374,-10.470386810664383,1.8,1.8
14.310114518351051,-11.151350992802524,1.8,1.8
15.437688170015806,-11.828863453907442,1.8,1.8
16.569385020516407,-12.500388218044396,1.8,1.8
17.70615882969663,-13.163389309278646,1.8,1.8
18.848963357400233,-13.815330751675443,1.8,1.8
19.998752363470988,-14.453676569300047,1.8,1.8
21.156479607752665,-15.075890786217713,1.8,1.8
22.32309885008904,-15.679437426493704,1.8,1.8
23.499563850323863,-16.261780514193266,1.8,1.8
24.686828368300922,-16.820384073381668,1.8,1.8
25.885846163863963,-17.352712128124157,1.8,1.8
27.097581260581958,-17.856200938473474,1.8,1.8
28.333282630179546,-18.297778734293395,1.8,1.8
29.624082055294398,-18.519043979054644,1.8,1.8
30.936680190026838,-18.515255487690325,1.8,1.8
32.24843970216209,-18.464887335377245,1.8,1.8
33.55721214265114,-18.365385582112467,1.8,1.8
34.83962513496174,-18.094848090403644,1.8,1.8
35.95271669800258,-17.41165572005361,1.8,1.8
36.96334929016143,-16.551796720103678,1.8,1.8
37.982171640953425,-15.662850170009856,1.8,1.8
39.00508337739406,-14.745924021602352,1.8,1.8
40.027854362059436,-13.801988969951884,1.8,1.8
41.0462544575256,-12.832015710129138,1.8,1.8
42.056053526368615,-11.83697493720482,1.8,1.8
43.05302143116454,-10.817837346249634,1.8,1.8
44.03292803448943,-9.775573632334279,1.8,1.8
44.99154319891934,-8.711154490529452,1.8,1.8
45.92463678703034,-7.625550615905864,1.8,1.8
46.8279786613985,-6.519732703534213,1.8,1.8
47.69733868459985,-5.3946714484851945,1.8,1.8
48.52848671921047,-4.251337545829515,1.8,1.8
49.31719262780642,-3.0907016906378777,1.8,1.8
50.05922627296376,-1.9137345779809802,1.8,1.8
50.750357517258536,-0.7214069029295231,1.8,1.8
51.386356223266816,0.48531063944579067,1.8,1.8
51.96299225356465,1.705447354074268,1.8,1.8
52.47603547072813,2.93803254588519,1.8,1.8
52.92125573733327,4.182095519807864,1.8,1.8
53.29442291595615,5.436665580771589,1.8,1.8
53.59130686917285,6.700772033705664,1.8,1.8
53.80767745955939,7.973444183539386,1.8,1.8
53.939304549691855,9.253711335202055,1.8,1.8
53.981958002146314,10.540602793622972,1.8,1.8
53.93140767949879,11.833147863731432,1.8,1.8
53.784490562645296,13.130433381283993,1.8,1.8
53.68090713817493,14.437763663680663,1.8,1.8
53.802728770183585,15.743783288891677,1.8,1.8
53.99846248549736,17.043137667963993,1.8,1.8
54.18652018596806,18.34544703089035,1.8,1.8
54.36657987753653,19.650532767519532,1.8,1.8
54.53837488972598,20.95820869127321,1.8,1.8
54.70163855205962,22.26828861557312,1.8,1.8
54.85610419406067,23.580586353840953,1.8,1.8
55.00150514525234,24.894915719498428,1.8,1.8
55.13757473515785,26.211090525967247,1.8,1.8
55.2640462933004,27.528924586669124,1.8,1.8
55.38065314920322,28.84823171502576,1.8,1.8
55.487128632389506,30.168825724458877,1.8,1.8
55.583206072382495,31.490520428390173,1.8,1.8
55.66861879870538,32.813129640241364,1.8,1.8
55.7431001408814,34.13646717343415,1.8,1.8
55.80638342843373,35.46034684139023,1.8,1.8
55.85820199088562,36.78458245753135,1.8,1.8
55.89828915776026,38.10898783527918,1.8,1.8
55.926378258580876,39.43337678805545,1.8,1.8
55.94220262287067,40.757563129281856,1.8,1.8
55.94549558015288,42.08136067238012,1.8,1.8
55.9359904599507,43.40458323077194,1.8,1.8
55.913420591787336,44.727044617879024,1.8,1.8
55.87751930518603,46.0485586471231,1.8,1.8
55.82801992966998,47.368939131925856,1.8,1.8
55.76465579476238,48.68799988570899,1.8,1.8
55.687160229986475,50.00555472189424,1.8,1.8
55.59526656486547,51.32141745390331,1.8,1.8
55.48870812892258,52.635401895157884,1.8,1.8
55.36721825168101,53.9473218590797,1.8,1.8
55.23053026266397,55.25699115909044,1.8,1.8
55.078377491394704,56.56422360861184,1.8,1.8
54.91049326739638,57.86883302106559,1.8,1.8
54.726610920192236,59.17063320987339,1.8,1.8
54.526463779305516,60.46943798845699,1.8,1.8
54.309785174259375,61.765061170238056,1.8,1.8
54.076308434577065,63.057316568638306,1.8,1.8
53.825766889781775,64.34601799707947,1.8,1.8
53.55789386939674,65.63097926898324,1.8,1.8
53.25481775958076,66.90770729735031,1.8,1.8
52.78854782193755,68.13374989480792,1.8,1.8
52.233642263420265,69.33457867732487,1.8,1.8
51.51590140844886,70.46992493306003,1.8,1.8
50.63731867680625,71.48155847159484,1.8,1.8
49.609318176020054,72.31394386619088,1.8,1.8
48.48752726120044,72.9957045298553,1.8,1.8
